list_name,name,label,county_key,constituency_key,subcounty_key,division_key,location_key,ward_key,poll_station_key,poll_station_code,no_of_poll_stations,entrance_id,entrance_password,voting_id,voting_passwaord
county,mombasa,MOMBASA,,,,,,,,,,,,,
county,kwale,KWALE,,,,,,,,,,,,,
county,kilifi,KILIFI,,,,,,,,,,,,,
county,tana_river,TANA RIVER,,,,,,,,,,,,,
county,lamu,LAMU,,,,,,,,,,,,,
county,taita_taveta,TAITA TAVETA,,,,,,,,,,,,,
county,garissa,GARISSA,,,,,,,,,,,,,
county,wajir,WAJIR,,,,,,,,,,,,,
county,mandera,MANDERA,,,,,,,,,,,,,
county,marsabit,MARSABIT,,,,,,,,,,,,,
county,isiolo,ISIOLO,,,,,,,,,,,,,
county,meru,MERU,,,,,,,,,,,,,
county,tharaka_nithi,THARAKA_NITHI,,,,,,,,,,,,,
county,embu,EMBU,,,,,,,,,,,,,
county,kitui,KITUI,,,,,,,,,,,,,
county,machakos,MACHAKOS,,,,,,,,,,,,,
county,makueni,MAKUENI,,,,,,,,,,,,,
county,nyandarua,NYANDARUA,,,,,,,,,,,,,
county,nyeri,NYERI,,,,,,,,,,,,,
county,kirinyaga,KIRINYAGA,,,,,,,,,,,,,
county,muranga,MURANG'A,,,,,,,,,,,,,
county,kiambu,KIAMBU,,,,,,,,,,,,,
county,turkana,TURKANA,,,,,,,,,,,,,
county,west_pokot,WEST POKOT,,,,,,,,,,,,,
county,samburu,SAMBURU,,,,,,,,,,,,,
county,trans_nzoia,TRANS NZOIA,,,,,,,,,,,,,
county,uasin_gishu,UASIN GISHU,,,,,,,,,,,,,
county,elgeyo_marakwet,ELGEYO MARAKWET,,,,,,,,,,,,,
county,nandi,NANDI,,,,,,,,,,,,,
county,baringo,BARINGO,,,,,,,,,,,,,
county,laikipia,LAIKIPIA,,,,,,,,,,,,,
county,nakuru,NAKURU,,,,,,,,,,,,,
county,narok,NAROK,,,,,,,,,,,,,
county,kajiado,KAJIADO,,,,,,,,,,,,,
county,kericho,KERICHO,,,,,,,,,,,,,
county,bomet,BOMET,,,,,,,,,,,,,
county,kakamega,KAKAMEGA,,,,,,,,,,,,,
